year,age,original_proportion,tinyvast_proportion,percent_change,direction
1982,1,0.081799774,0.089187542,9.031526175121204,Increase
1982,2,0.206616307,0.206423123,-0.09349891245515916,Decrease
1982,3,0.240695763,0.237719192,-1.2366528446119807,Decrease
1982,4,0.325157454,0.322971743,-0.6722007978325585,Decrease
1982,5,0.110200813,0.108765269,-1.3026618959698573,Decrease
1982,6,0.014712627,0.014438296,-1.8645956293189578,Decrease
1982,7,0.009494824,0.009304993,-1.9993103610978087,Decrease
1982,8,0.004549484,0.004476655,-1.6008189060561582,Decrease
1982,9,0.002816221,0.002780327,-1.2745448599381888,Decrease
1982,10,0.001772199,0.001750067,-1.2488439503690054,Decrease
1982,11,0.001091252,0.001088321,-0.2685905730298841,Decrease
1982,12,6.45744e-4,6.45124e-4,-0.09601328080477779,Decrease
1982,13,2.40573e-4,2.42168e-4,0.6630004198309816,Increase
1982,14,1.04715e-4,1.0465e-4,-0.062073246430795016,Decrease
1982,15,1.02248e-4,1.0253e-4,0.2758000156482229,Increase
1983,1,0.173609874,0.175060977,0.8358412840043932,Increase
1983,2,0.04102089,0.042126605,2.6954924673745504,Increase
1983,3,0.111770401,0.111433958,-0.3010126088748717,Decrease
1983,4,0.174452557,0.175661228,0.6928365056867549,Increase
1983,5,0.359141639,0.355527783,-1.0062481226244073,Decrease
1983,6,0.103655749,0.103209639,-0.4303765148617078,Decrease
1983,7,0.017588167,0.017649056,0.34619298304366497,Increase
1983,8,0.007956587,0.0081273,2.14555562579786,Increase
1983,9,0.003641429,0.003768753,3.4965394080181236,Increase
1983,10,0.003270445,0.003384991,3.5024591454679745,Increase
1983,11,0.002328238,0.002410662,3.5401879017523217,Increase
1983,12,8.44045e-4,8.83381e-4,4.660415025265248,Increase
1983,13,3.10354e-4,3.21786e-4,3.683535575504109,Increase
1983,14,2.78799e-4,2.96683e-4,6.414657154437434,Increase
1983,15,1.30827e-4,1.37198e-4,4.869789875178669,Increase
1984,1,0.037021504,0.038037187,2.743494699729118,Increase
1984,2,0.030423498,0.031542345,3.677575142739994,Increase
1984,3,0.061445391,0.063527303,3.3882313483854163,Increase
1984,4,0.172746111,0.174528759,1.0319468204988984,Increase
1984,5,0.191264919,0.190412534,-0.445656738547026,Decrease
1984,6,0.407021112,0.402063721,-1.217969007956529,Decrease
1984,7,0.072024211,0.071478743,-0.7573397784253509,Decrease
1984,8,0.015424055,0.015532655,0.7040949996612345,Increase
1984,9,0.007027874,0.007131605,1.4759940203822683,Increase
1984,10,0.002352028,0.00239767,1.940538122845487,Increase
1984,11,0.001606261,0.001643203,2.2998753004648607,Increase
1984,12,6.036e-4,6.17285e-4,2.2672299536116522,Increase
1984,13,3.63258e-4,3.79003e-4,4.334384927517084,Increase
1984,14,4.53036e-4,4.72237e-4,4.2382945284701545,Increase
1984,15,2.23142e-4,2.35752e-4,5.6511100554803555,Increase
1985,1,0.237872086,0.237771912,-0.04211254951537627,Decrease
1985,2,0.038084744,0.038176173,0.2400672563271109,Increase
1985,3,0.188033416,0.192118504,2.172532992752728,Increase
1985,4,0.06653871,0.067058539,0.7812429787111884,Increase
1985,5,0.218917722,0.218949715,0.01461416632134523,Increase
1985,6,0.134798631,0.132351922,-1.8150844573488223,Decrease
1985,7,0.089092912,0.087337637,-1.970162340187063,Decrease
1985,8,0.016947889,0.016654037,-1.7338560572352149,Decrease
1985,9,0.004137667,0.00406793,-1.68541837707095,Decrease
1985,10,0.003499736,0.003456316,-1.2406650101607593,Decrease
1985,11,0.001219457,0.001206873,-1.0319347053647605,Decrease
1985,12,3.82657e-4,3.77219e-4,-1.4211160386455821,Decrease
1985,13,4.07898e-4,4.06352e-4,-0.37901632270812846,Decrease
1985,14,3.43051e-5,3.46e-5,0.8596389458127301,Increase
1985,15,3.21693e-5,3.23e-5,0.40628798264184174,Increase
1986,1,0.17390969,0.180408179,3.736703227979991,Increase
1986,2,0.057621669,0.05661139,-1.7532970105395642,Decrease
1986,3,0.046663695,0.047334761,1.4380901469547256,Increase
1986,4,0.197615267,0.193921676,-1.8690818053040525,Decrease
1986,5,0.100708054,0.100158348,-0.5458411499044663,Decrease
