"Year","Quantity","Model","Value"
1964,"Spawning biomass","Model 26.0",1313.96044212048
1965,"Spawning biomass","Model 26.0",1342.64982205308
1966,"Spawning biomass","Model 26.0",1365.25847006155
1967,"Spawning biomass","Model 26.0",1475.26521737298
1968,"Spawning biomass","Model 26.0",1640.4339595087
1969,"Spawning biomass","Model 26.0",1862.08336951357
1970,"Spawning biomass","Model 26.0",1974.74463999399
1971,"Spawning biomass","Model 26.0",2087.35341165386
1972,"Spawning biomass","Model 26.0",1951.63936455024
1973,"Spawning biomass","Model 26.0",1673.22923984101
1974,"Spawning biomass","Model 26.0",1272.11051866407
1975,"Spawning biomass","Model 26.0",1178.60822635665
1976,"Spawning biomass","Model 26.0",1100.87232601873
1977,"Spawning biomass","Model 26.0",1280.52260345231
1978,"Spawning biomass","Model 26.0",1131.88130291186
1979,"Spawning biomass","Model 26.0",1037.76216083048
1980,"Spawning biomass","Model 26.0",1229.18770992026
1981,"Spawning biomass","Model 26.0",1886.27720830621
1982,"Spawning biomass","Model 26.0",2628.41908545053
1983,"Spawning biomass","Model 26.0",3535.74369929496
1984,"Spawning biomass","Model 26.0",3672.65287111075
1985,"Spawning biomass","Model 26.0",4200.48484101069
1986,"Spawning biomass","Model 26.0",4091.82607299569
1987,"Spawning biomass","Model 26.0",4111.67289570754
1988,"Spawning biomass","Model 26.0",3871.73405333278
1989,"Spawning biomass","Model 26.0",3349.64715467594
1990,"Spawning biomass","Model 26.0",2839.7756115145
1991,"Spawning biomass","Model 26.0",2290.05047302166
1992,"Spawning biomass","Model 26.0",2171.41522840618
1993,"Spawning biomass","Model 26.0",2842.34302871011
1994,"Spawning biomass","Model 26.0",3301.20258303486
1995,"Spawning biomass","Model 26.0",3528.91685789726
1996,"Spawning biomass","Model 26.0",3465.53898744885
1997,"Spawning biomass","Model 26.0",3369.53286749173
1998,"Spawning biomass","Model 26.0",2864.03816096318
1999,"Spawning biomass","Model 26.0",2984.76099943692
2000,"Spawning biomass","Model 26.0",2872.05009426534
2001,"Spawning biomass","Model 26.0",2911.08758517124
2002,"Spawning biomass","Model 26.0",2706.15981938083
2003,"Spawning biomass","Model 26.0",2732.41499367157
2004,"Spawning biomass","Model 26.0",3023.51712412367
2005,"Spawning biomass","Model 26.0",2661.48297546401
2006,"Spawning biomass","Model 26.0",2435.75481035212
2007,"Spawning biomass","Model 26.0",2003.04811548541
2008,"Spawning biomass","Model 26.0",1538.33435637908
2009,"Spawning biomass","Model 26.0",1629.00565520213
2010,"Spawning biomass","Model 26.0",1665.02429159893
2011,"Spawning biomass","Model 26.0",2039.95268166221
2012,"Spawning biomass","Model 26.0",2487.27981059655
2013,"Spawning biomass","Model 26.0",2837.64044173251
2014,"Spawning biomass","Model 26.0",2795.47329179692
2015,"Spawning biomass","Model 26.0",2610.64728217966
2016,"Spawning biomass","Model 26.0",2871.80017161916
2017,"Spawning biomass","Model 26.0",3321.04206866915
2018,"Spawning biomass","Model 26.0",3168.01136304127
2019,"Spawning biomass","Model 26.0",3080.37381258885
2020,"Spawning biomass","Model 26.0",2380.96743353698
2021,"Spawning biomass","Model 26.0",2593.49603123074
2022,"Spawning biomass","Model 26.0",3569.87587806377
2023,"Spawning biomass","Model 26.0",3486.1153651859
2024,"Spawning biomass","Model 26.0",3526.27254278764
1964,"Spawning biomass","Model 23.2 bridge",1455.33
1965,"Spawning biomass","Model 23.2 bridge",1473.48
1966,"Spawning biomass","Model 23.2 bridge",1479.17
1967,"Spawning biomass","Model 23.2 bridge",1570.18
1968,"Spawning biomass","Model 23.2 bridge",1717.66
1969,"Spawning biomass","Model 23.2 bridge",1929.44
1970,"Spawning biomass","Model 23.2 bridge",2037.33
1971,"Spawning biomass","Model 23.2 bridge",2150.48
1972,"Spawning biomass","Model 23.2 bridge",2014.42
1973,"Spawning biomass","Model 23.2 bridge",1735.33
1974,"Spawning biomass","Model 23.2 bridge",1330.77
1975,"Spawning biomass","Model 23.2 bridge",1235.19
1976,"Spawning biomass","Model 23.2 bridge",1145.63
1977,"Spawning biomass","Model 23.2 bridge",1318.18
1978,"Spawning biomass","Model 23.2 bridge",1158.22
1979,"Spawning biomass","Model 23.2 bridge",1055.4
1980,"Spawning biomass","Model 23.2 bridge",1240.42
1981,"Spawning biomass","Model 23.2 bridge",1892.28
1982,"Spawning biomass","Model 23.2 bridge",2631.03
1983,"Spawning biomass","Model 23.2 bridge",3536.13
1984,"Spawning biomass","Model 23.2 bridge",3671.99
1985,"Spawning biomass","Model 23.2 bridge",4198.99
1986,"Spawning biomass","Model 23.2 bridge",4090.11
1987,"Spawning biomass","Model 23.2 bridge",4109.74
1988,"Spawning biomass","Model 23.2 bridge",3869.77
1989,"Spawning biomass","Model 23.2 bridge",3347.72
1990,"Spawning biomass","Model 23.2 bridge",2837.86
1991,"Spawning biomass","Model 23.2 bridge",2288.1
1992,"Spawning biomass","Model 23.2 bridge",2169.14
1993,"Spawning biomass","Model 23.2 bridge",2838.99
1994,"Spawning biomass","Model 23.2 bridge",3296.68
1995,"Spawning biomass","Model 23.2 bridge",3523.21
1996,"Spawning biomass","Model 23.2 bridge",3459.14
1997,"Spawning biomass","Model 23.2 bridge",3362.74
1998,"Spawning biomass","Model 23.2 bridge",2857.99
1999,"Spawning biomass","Model 23.2 bridge",2978.63
2000,"Spawning biomass","Model 23.2 bridge",2866.38
2001,"Spawning biomass","Model 23.2 bridge",2905.66
2002,"Spawning biomass","Model 23.2 bridge",2701.04
2003,"Spawning biomass","Model 23.2 bridge",2727.34
2004,"Spawning biomass","Model 23.2 bridge",3018.07
2005,"Spawning biomass","Model 23.2 bridge",2656.28
2006,"Spawning biomass","Model 23.2 bridge",2430.28
2007,"Spawning biomass","Model 23.2 bridge",1997.7
2008,"Spawning biomass","Model 23.2 bridge",1533.77
2009,"Spawning biomass","Model 23.2 bridge",1625.07
2010,"Spawning biomass","Model 23.2 bridge",1661.99
2011,"Spawning biomass","Model 23.2 bridge",2037.31
2012,"Spawning biomass","Model 23.2 bridge",2484.51
2013,"Spawning biomass","Model 23.2 bridge",2834.31
2014,"Spawning biomass","Model 23.2 bridge",2791.16
2015,"Spawning biomass","Model 23.2 bridge",2604.87
2016,"Spawning biomass","Model 23.2 bridge",2864.4
2017,"Spawning biomass","Model 23.2 bridge",3316.63
2018,"Spawning biomass","Model 23.2 bridge",3171.23
2019,"Spawning biomass","Model 23.2 bridge",3090.43
2020,"Spawning biomass","Model 23.2 bridge",2389.45
2021,"Spawning biomass","Model 23.2 bridge",2572.94
2022,"Spawning biomass","Model 23.2 bridge",3501.63
2023,"Spawning biomass","Model 23.2 bridge",3401.59
2024,"Spawning biomass","Model 23.2 bridge",3427.46
1964,"Age-1 recruitment","Model 26.0",5634.8318223981
1965,"Age-1 recruitment","Model 26.0",23293.2979372444
1966,"Age-1 recruitment","Model 26.0",15752.6324551867
1967,"Age-1 recruitment","Model 26.0",27115.2612370909
1968,"Age-1 recruitment","Model 26.0",22388.337635434
1969,"Age-1 recruitment","Model 26.0",26267.8500053566
1970,"Age-1 recruitment","Model 26.0",23326.6571303842
1971,"Age-1 recruitment","Model 26.0",13590.5333376988
1972,"Age-1 recruitment","Model 26.0",10858.3652866725
1973,"Age-1 recruitment","Model 26.0",26722.9261033214
1974,"Age-1 recruitment","Model 26.0",19195.2134652431
1975,"Age-1 recruitment","Model 26.0",16293.7585534832
1976,"Age-1 recruitment","Model 26.0",12775.3998160117
1977,"Age-1 recruitment","Model 26.0",13803.6030717259
1978,"Age-1 recruitment","Model 26.0",26202.4122163677
1979,"Age-1 recruitment","Model 26.0",62002.8294759874
1980,"Age-1 recruitment","Model 26.0",29638.7486038076
1981,"Age-1 recruitment","Model 26.0",33817.0595579556
1982,"Age-1 recruitment","Model 26.0",18903.016446215
1983,"Age-1 recruitment","Model 26.0",51935.4354176572
1984,"Age-1 recruitment","Model 26.0",14221.9210816994
1985,"Age-1 recruitment","Model 26.0",32618.1786249284
1986,"Age-1 recruitment","Model 26.0",12646.5349603173
1987,"Age-1 recruitment","Model 26.0",7215.04123067866
1988,"Age-1 recruitment","Model 26.0",5596.45361579713
1989,"Age-1 recruitment","Model 26.0",11776.1136273517
1990,"Age-1 recruitment","Model 26.0",50239.4817233119
1991,"Age-1 recruitment","Model 26.0",27208.9033345696
1992,"Age-1 recruitment","Model 26.0",23530.4983651714
1993,"Age-1 recruitment","Model 26.0",45925.737105197
1994,"Age-1 recruitment","Model 26.0",15825.9383868913
1995,"Age-1 recruitment","Model 26.0",11094.2620374502
1996,"Age-1 recruitment","Model 26.0",22577.658010365
1997,"Age-1 recruitment","Model 26.0",30234.0197975292
1998,"Age-1 recruitment","Model 26.0",14874.188337645
1999,"Age-1 recruitment","Model 26.0",16129.311930025
2000,"Age-1 recruitment","Model 26.0",24679.909979727
2001,"Age-1 recruitment","Model 26.0",34466.484729209
2002,"Age-1 recruitment","Model 26.0",23035.815664057
2003,"Age-1 recruitment","Model 26.0",14406.9360851054
2004,"Age-1 recruitment","Model 26.0",6566.0983939321
2005,"Age-1 recruitment","Model 26.0",4652.85254025238
2006,"Age-1 recruitment","Model 26.0",11590.9403859681
2007,"Age-1 recruitment","Model 26.0",25036.384447938
2008,"Age-1 recruitment","Model 26.0",13590.6800784302
