"Run","Objective","Delta_objective","Returned_to_best"
"Jitter 1",716.907540761017,7.90566900832346e-09,TRUE
"Jitter 2",716.907540758911,5.80018877371913e-09,TRUE
"Jitter 3",716.907540764782,1.16706360131502e-08,TRUE
"Jitter 4",716.907540761314,8.20318746264093e-09,TRUE
"Jitter 5",1326.41982791027,609.512287157162,FALSE
"Jitter 6",716.907540759846,6.73480826662853e-09,TRUE
"Jitter 7",716.907540761738,8.62689830682939e-09,TRUE
"Jitter 8",716.907540768493,1.53822838910855e-08,TRUE
"Jitter 9",716.907540754636,1.52465418068459e-09,TRUE
"Jitter 10",716.907540763844,1.073306066246e-08,TRUE
"Jitter 11",716.907540755104,1.99258920474676e-09,TRUE
"Jitter 12",716.907540763422,1.03106003734865e-08,TRUE
"Jitter 13",716.907540753111,0,TRUE
"Jitter 14",716.907540761876,8.76548256201204e-09,TRUE
"Jitter 15",716.907540759476,6.3648712966824e-09,TRUE
"Jitter 16",716.907540753328,2.166871126974e-10,TRUE
"Jitter 17",716.907540758999,5.88795501244022e-09,TRUE
"Jitter 18",716.907540759403,6.29211172054056e-09,TRUE
"Jitter 19",716.907540755784,2.67277755483519e-09,TRUE
"Jitter 20",716.907540761782,8.67055405251449e-09,TRUE
"Jitter 21",716.907540764707,1.1596398508118e-08,TRUE
"Jitter 22",716.907540756791,3.68038399756188e-09,TRUE
"Jitter 23",716.907540759237,6.12646999798017e-09,TRUE
"Jitter 24",716.907540761132,8.02094746177318e-09,TRUE
"Jitter 25",716.907540762595,9.48364231589949e-09,TRUE
"Jitter 26",716.907540756301,3.19005266646855e-09,TRUE
"Jitter 27",716.907540765166,1.2055011211487e-08,TRUE
"Jitter 28",716.907540759032,5.92126525589265e-09,TRUE
"Jitter 29",716.90754076021,7.0986061473377e-09,TRUE
"Jitter 30",1326.41984310484,609.512302351733,FALSE
"Jitter 31",716.907540754761,1.64982338901609e-09,TRUE
"Jitter 32",716.90754075665,3.53895757143619e-09,TRUE
"Jitter 33",716.907540759559,6.44831743557006e-09,TRUE
"Jitter 34",716.907540762823,9.71215285971994e-09,TRUE
"Jitter 35",716.907540764701,1.15900320452056e-08,TRUE
"Jitter 36",716.907540756569,3.45823991665384e-09,TRUE
"Jitter 37",716.907540760903,7.79243691795273e-09,TRUE
"Jitter 38",716.907540765659,1.25476162793348e-08,TRUE
"Jitter 39",716.90754076147,8.35882474348182e-09,TRUE
"Jitter 40",716.9075407572,4.08942923968425e-09,TRUE
"Jitter 41",1326.41986648714,609.512325734026,FALSE
"Jitter 42",716.907540765689,1.25784254123573e-08,TRUE
"Jitter 43",716.907540755895,2.78419065580238e-09,TRUE
"Jitter 44",716.907540764062,1.09513393908856e-08,TRUE
"Jitter 45",716.907540755343,2.23178631131304e-09,TRUE
"Jitter 46",716.90754075626,3.14946646540193e-09,TRUE
"Jitter 47",716.907540753786,6.7461769504007e-10,TRUE
"Jitter 48",716.907540763557,1.04462287708884e-08,TRUE
"Jitter 49",716.907540760115,7.00367763784016e-09,TRUE
"Jitter 50",716.907540761261,8.15032308310037e-09,TRUE
