"Species","Object","Forecast year","N","EBS Pollock"
"1","biomass",0,9,2.89880641537401
"2","biomass",1,9,2.81171640076317
"3","biomass",2,8,3.31713666831305
"4","biomass",3,7,3.69223271692817
"5","ssb",0,9,2.15096249674484
"6","ssb",1,9,3.46838615980759
"7","ssb",2,8,3.94498173168061
"8","ssb",3,7,4.44935965598377
"9","R",0,9,0.121094196416516
"10","R",1,9,1.64184280875551
"11","R",2,8,1.52339313905246
"12","R",3,7,0.95771207864062
"13","F_spp",0,9,0.71284163689883
"14","F_spp",1,9,-0.301245410010602
"15","F_spp",2,8,-0.411393977779983
"16","F_spp",3,7,-0.358350661393881
