"Model","Terminal_year","Convergence_status","Maximum_gradient","Positive_definite_Hessian","Objective"
"Year_2015",2015,"OK",4.74086893242909e-05,TRUE,513.518004209496
"Year_2016",2016,"OK",0.000120561564977778,TRUE,529.244929611586
"Year_2017",2017,"OK",3.93097572772838e-05,TRUE,543.041168619653
"Year_2018",2018,"OK",3.8505561705926e-05,TRUE,568.394717751745
"Year_2019",2019,"OK",0.000201259822257342,TRUE,597.72664000905
"Year_2020",2020,"OK",4.83536412518339e-05,TRUE,614.415873542065
"Year_2021",2021,"OK",4.82665400144133e-05,TRUE,655.986640596311
"Year_2022",2022,"OK",5.53437688458955e-05,TRUE,688.329745295037
"Year_2023",2023,"OK",3.92268230270387e-05,TRUE,703.737183087569
"Year_2024",2024,"OK",7.65260831373446e-05,TRUE,716.907540776844
