"Model","Terminal_year","Data_stream","Fleet","Base_maximum_year","Base_terminal_lag","Cutoff_year","Expected_maximum_year","Actual_maximum_year","Pass"
"Year_2015",2015,"index_data","AVO",2024,0,2015,2015,2015,TRUE
"Year_2015",2015,"index_data","BTS",2024,0,2015,2015,2015,TRUE
"Year_2015",2015,"index_data","ATS",2024,0,2015,2014,2014,TRUE
"Year_2015",2015,"index_data","BTS_1",2024,0,2015,2015,2015,TRUE
"Year_2015",2015,"index_data","ATS_1",2022,2,2013,2012,2012,TRUE
"Year_2015",2015,"index_data","CPUE",1976,48,1976,1976,1976,TRUE
"Year_2015",2015,"comp_data","Fishery",2023,1,2014,2014,2014,TRUE
"Year_2015",2015,"comp_data","BTS",2024,0,2015,2015,2015,TRUE
"Year_2015",2015,"comp_data","ATS",2024,0,2015,2014,2014,TRUE
"Year_2016",2016,"index_data","AVO",2024,0,2016,2016,2016,TRUE
"Year_2016",2016,"index_data","BTS",2024,0,2016,2016,2016,TRUE
"Year_2016",2016,"index_data","ATS",2024,0,2016,2016,2016,TRUE
"Year_2016",2016,"index_data","BTS_1",2024,0,2016,2016,2016,TRUE
"Year_2016",2016,"index_data","ATS_1",2022,2,2014,2014,2014,TRUE
"Year_2016",2016,"index_data","CPUE",1976,48,1976,1976,1976,TRUE
"Year_2016",2016,"comp_data","Fishery",2023,1,2015,2015,2015,TRUE
"Year_2016",2016,"comp_data","BTS",2024,0,2016,2016,2016,TRUE
"Year_2016",2016,"comp_data","ATS",2024,0,2016,2016,2016,TRUE
"Year_2017",2017,"index_data","AVO",2024,0,2017,2017,2017,TRUE
"Year_2017",2017,"index_data","BTS",2024,0,2017,2017,2017,TRUE
"Year_2017",2017,"index_data","ATS",2024,0,2017,2016,2016,TRUE
"Year_2017",2017,"index_data","BTS_1",2024,0,2017,2017,2017,TRUE
"Year_2017",2017,"index_data","ATS_1",2022,2,2015,2014,2014,TRUE
"Year_2017",2017,"index_data","CPUE",1976,48,1976,1976,1976,TRUE
"Year_2017",2017,"comp_data","Fishery",2023,1,2016,2016,2016,TRUE
"Year_2017",2017,"comp_data","BTS",2024,0,2017,2017,2017,TRUE
"Year_2017",2017,"comp_data","ATS",2024,0,2017,2016,2016,TRUE
"Year_2018",2018,"index_data","AVO",2024,0,2018,2018,2018,TRUE
"Year_2018",2018,"index_data","BTS",2024,0,2018,2018,2018,TRUE
"Year_2018",2018,"index_data","ATS",2024,0,2018,2018,2018,TRUE
"Year_2018",2018,"index_data","BTS_1",2024,0,2018,2018,2018,TRUE
"Year_2018",2018,"index_data","ATS_1",2022,2,2016,2016,2016,TRUE
"Year_2018",2018,"index_data","CPUE",1976,48,1976,1976,1976,TRUE
"Year_2018",2018,"comp_data","Fishery",2023,1,2017,2017,2017,TRUE
"Year_2018",2018,"comp_data","BTS",2024,0,2018,2018,2018,TRUE
"Year_2018",2018,"comp_data","ATS",2024,0,2018,2018,2018,TRUE
"Year_2019",2019,"index_data","AVO",2024,0,2019,2019,2019,TRUE
"Year_2019",2019,"index_data","BTS",2024,0,2019,2019,2019,TRUE
"Year_2019",2019,"index_data","ATS",2024,0,2019,2018,2018,TRUE
"Year_2019",2019,"index_data","BTS_1",2024,0,2019,2019,2019,TRUE
"Year_2019",2019,"index_data","ATS_1",2022,2,2017,2016,2016,TRUE
"Year_2019",2019,"index_data","CPUE",1976,48,1976,1976,1976,TRUE
"Year_2019",2019,"comp_data","Fishery",2023,1,2018,2018,2018,TRUE
"Year_2019",2019,"comp_data","BTS",2024,0,2019,2019,2019,TRUE
"Year_2019",2019,"comp_data","ATS",2024,0,2019,2018,2018,TRUE
"Year_2020",2020,"index_data","AVO",2024,0,2020,2019,2019,TRUE
"Year_2020",2020,"index_data","BTS",2024,0,2020,2019,2019,TRUE
"Year_2020",2020,"index_data","ATS",2024,0,2020,2020,2020,TRUE
"Year_2020",2020,"index_data","BTS_1",2024,0,2020,2019,2019,TRUE
"Year_2020",2020,"index_data","ATS_1",2022,2,2018,2018,2018,TRUE
"Year_2020",2020,"index_data","CPUE",1976,48,1976,1976,1976,TRUE
"Year_2020",2020,"comp_data","Fishery",2023,1,2019,2019,2019,TRUE
"Year_2020",2020,"comp_data","BTS",2024,0,2020,2019,2019,TRUE
"Year_2020",2020,"comp_data","ATS",2024,0,2020,2020,2020,TRUE
"Year_2021",2021,"index_data","AVO",2024,0,2021,2021,2021,TRUE
"Year_2021",2021,"index_data","BTS",2024,0,2021,2021,2021,TRUE
"Year_2021",2021,"index_data","ATS",2024,0,2021,2020,2020,TRUE
"Year_2021",2021,"index_data","BTS_1",2024,0,2021,2021,2021,TRUE
"Year_2021",2021,"index_data","ATS_1",2022,2,2019,2018,2018,TRUE
"Year_2021",2021,"index_data","CPUE",1976,48,1976,1976,1976,TRUE
"Year_2021",2021,"comp_data","Fishery",2023,1,2020,2020,2020,TRUE
"Year_2021",2021,"comp_data","BTS",2024,0,2021,2021,2021,TRUE
"Year_2021",2021,"comp_data","ATS",2024,0,2021,2020,2020,TRUE
"Year_2022",2022,"index_data","AVO",2024,0,2022,2022,2022,TRUE
"Year_2022",2022,"index_data","BTS",2024,0,2022,2022,2022,TRUE
"Year_2022",2022,"index_data","ATS",2024,0,2022,2022,2022,TRUE
"Year_2022",2022,"index_data","BTS_1",2024,0,2022,2022,2022,TRUE
"Year_2022",2022,"index_data","ATS_1",2022,2,2020,2020,2020,TRUE
"Year_2022",2022,"index_data","CPUE",1976,48,1976,1976,1976,TRUE
"Year_2022",2022,"comp_data","Fishery",2023,1,2021,2021,2021,TRUE
"Year_2022",2022,"comp_data","BTS",2024,0,2022,2022,2022,TRUE
"Year_2022",2022,"comp_data","ATS",2024,0,2022,2022,2022,TRUE
"Year_2023",2023,"index_data","AVO",2024,0,2023,2023,2023,TRUE
"Year_2023",2023,"index_data","BTS",2024,0,2023,2023,2023,TRUE
"Year_2023",2023,"index_data","ATS",2024,0,2023,2022,2022,TRUE
"Year_2023",2023,"index_data","BTS_1",2024,0,2023,2023,2023,TRUE
"Year_2023",2023,"index_data","ATS_1",2022,2,2021,2020,2020,TRUE
"Year_2023",2023,"index_data","CPUE",1976,48,1976,1976,1976,TRUE
"Year_2023",2023,"comp_data","Fishery",2023,1,2022,2022,2022,TRUE
"Year_2023",2023,"comp_data","BTS",2024,0,2023,2023,2023,TRUE
"Year_2023",2023,"comp_data","ATS",2024,0,2023,2022,2022,TRUE
