"Model","Terminal_year","Year","Quantity","Value"
"Year_2015",2015,1964,"Spawning biomass",1373.0041432592
"Year_2015",2015,1965,"Spawning biomass",1400.79021676261
"Year_2015",2015,1966,"Spawning biomass",1422.85694690074
"Year_2015",2015,1967,"Spawning biomass",1533.23832611195
"Year_2015",2015,1968,"Spawning biomass",1699.90532077753
"Year_2015",2015,1969,"Spawning biomass",1922.46443213324
"Year_2015",2015,1970,"Spawning biomass",2032.05589848686
"Year_2015",2015,1971,"Spawning biomass",2142.90176132608
"Year_2015",2015,1972,"Spawning biomass",2002.08421534948
"Year_2015",2015,1973,"Spawning biomass",1719.95734374513
"Year_2015",2015,1974,"Spawning biomass",1315.37446058296
"Year_2015",2015,1975,"Spawning biomass",1220.08891798072
"Year_2015",2015,1976,"Spawning biomass",1134.81299355851
"Year_2015",2015,1977,"Spawning biomass",1313.99600401476
"Year_2015",2015,1978,"Spawning biomass",1161.47542048202
"Year_2015",2015,1979,"Spawning biomass",1066.6352431993
"Year_2015",2015,1980,"Spawning biomass",1265.3905653521
"Year_2015",2015,1981,"Spawning biomass",1949.28687518992
"Year_2015",2015,1982,"Spawning biomass",2728.77716440095
"Year_2015",2015,1983,"Spawning biomass",3684.15012852115
"Year_2015",2015,1984,"Spawning biomass",3830.09023066683
"Year_2015",2015,1985,"Spawning biomass",4349.81428587814
"Year_2015",2015,1986,"Spawning biomass",4205.74499616929
"Year_2015",2015,1987,"Spawning biomass",4192.71167875051
"Year_2015",2015,1988,"Spawning biomass",3922.86421816786
"Year_2015",2015,1989,"Spawning biomass",3378.83677461031
"Year_2015",2015,1990,"Spawning biomass",2854.91026340173
"Year_2015",2015,1991,"Spawning biomass",2295.71307586313
"Year_2015",2015,1992,"Spawning biomass",2173.18321142101
"Year_2015",2015,1993,"Spawning biomass",2845.21086280039
"Year_2015",2015,1994,"Spawning biomass",3308.17057357293
"Year_2015",2015,1995,"Spawning biomass",3539.99934822817
"Year_2015",2015,1996,"Spawning biomass",3478.63209856855
"Year_2015",2015,1997,"Spawning biomass",3383.48405430012
"Year_2015",2015,1998,"Spawning biomass",2876.18769187679
"Year_2015",2015,1999,"Spawning biomass",2996.78569658272
"Year_2015",2015,2000,"Spawning biomass",2883.07260066844
"Year_2015",2015,2001,"Spawning biomass",2921.6509704878
"Year_2015",2015,2002,"Spawning biomass",2714.95736266675
"Year_2015",2015,2003,"Spawning biomass",2739.07799832249
"Year_2015",2015,2004,"Spawning biomass",3027.79855295705
"Year_2015",2015,2005,"Spawning biomass",2662.60636500824
"Year_2015",2015,2006,"Spawning biomass",2432.76524176048
"Year_2015",2015,2007,"Spawning biomass",1994.76496683473
"Year_2015",2015,2008,"Spawning biomass",1525.58376305437
"Year_2015",2015,2009,"Spawning biomass",1614.87200009702
"Year_2015",2015,2010,"Spawning biomass",1651.20314836293
"Year_2015",2015,2011,"Spawning biomass",2005.29794847966
"Year_2015",2015,2012,"Spawning biomass",2364.49276308789
"Year_2015",2015,2013,"Spawning biomass",2503.39240282377
"Year_2015",2015,2014,"Spawning biomass",2975.57520181365
"Year_2015",2015,2015,"Spawning biomass",35549.531613507
"Year_2015",2015,1964,"Total biomass",4912.94392923475
"Year_2015",2015,1965,"Total biomass",5286.94225147339
"Year_2015",2015,1966,"Total biomass",5504.7952416288
"Year_2015",2015,1967,"Total biomass",6244.42660447484
"Year_2015",2015,1968,"Total biomass",6891.13662272202
"Year_2015",2015,1969,"Total biomass",7473.02310000516
"Year_2015",2015,1970,"Total biomass",8172.81207655672
"Year_2015",2015,1971,"Total biomass",8095.26267431124
"Year_2015",2015,1972,"Total biomass",7350.45005007862
"Year_2015",2015,1973,"Total biomass",6588.80167530804
"Year_2015",2015,1974,"Total biomass",5542.25707842078
"Year_2015",2015,1975,"Total biomass",4755.74926687885
"Year_2015",2015,1976,"Total biomass",4333.78844666802
"Year_2015",2015,1977,"Total biomass",4051.35223468955
"Year_2015",2015,1978,"Total biomass",4318.83795631262
"Year_2015",2015,1979,"Total biomass",5570.38646341408
"Year_2015",2015,1980,"Total biomass",6367.06648497803
"Year_2015",2015,1981,"Total biomass",7954.90745023634
"Year_2015",2015,1982,"Total biomass",9618.86220927822
"Year_2015",2015,1983,"Total biomass",11000.5997198901
"Year_2015",2015,1984,"Total biomass",10707.4256992939
"Year_2015",2015,1985,"Total biomass",12549.581678726
"Year_2015",2015,1986,"Total biomass",11317.1409121893
"Year_2015",2015,1987,"Total biomass",10806.9133106523
"Year_2015",2015,1988,"Total biomass",9705.03105274981
"Year_2015",2015,1989,"Total biomass",8246.42895811333
"Year_2015",2015,1990,"Total biomass",7858.15224348885
"Year_2015",2015,1991,"Total biomass",8942.38818188702
