"Diagnostic","Value","Text_value","Target","Outcome"
"Chains",4,NA,"4","Pass"
"Warmup iterations per chain",1000,NA,"1000","Pass"
"Retained draws per chain",1000,NA,"1000","Pass"
"Total retained draws",4000,NA,"4000","Pass"
"Joint parameters",1218,NA,"recorded","Pass"
"Metric",NA,"dense","dense","Pass"
"Maximum R-hat",1.07533482328754,NA,"<= 1.01","Review"
"Minimum bulk ESS",36.0457745589386,NA,">= 400","Review"
"Minimum tail ESS",21.6692144438212,NA,">= 400","Review"
"Divergences",0,NA,"0","Pass"
"Maximum-tree-depth events",0,NA,"0","Pass"
"Minimum E-BFMI",1.00114801200883,NA,"> 0.30","Pass"
"Maximum gradient at sampler start",4.98381571950868e-05,NA,"< 0.001","Pass"
"Elapsed hours",0.192520050274001,NA,"recorded","Recorded"
