Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B
11/15/97,10,0,0,10/15/98,10,0,0,10/15/99,10,0,0,9/15/00,10,0,0,11/15/01,10,0,0,7/15/02,10,0,0,8/15/02,10,13.05387549,0.08056924,8/15/03,10,0,0,9/15/03,10,0,0,7/15/05,10,0,0,7/15/07,10,0.2658937,0.0015979,9/15/07,10,4.169607,0.021229,9/15/08,10,0.15264,0.000928,9/15/09,10,0.5089094,0.0022203,9/15/10,10,0.092617,0.000428
11/15/97,11,0,0,10/15/98,11,0,0,10/15/99,11,33.33975105,0.317616533,9/15/00,11,0,0,11/15/01,11,0,0,7/15/02,11,0,0,8/15/02,11,17.57227416,0.14651301,8/15/03,11,0,0,9/15/03,11,0,0,7/15/05,11,0,0,7/15/07,11,0.7885782,0.0066671,9/15/07,11,5.622428,0.038051,9/15/08,11,9.54096,0.080561,9/15/09,11,1.5860469,0.0098301,9/15/10,11,0.586041,0.004745
11/15/97,12,0,0,10/15/98,12,0.078714944,0.000923543,10/15/99,12,32.6523419,0.404282025,9/15/00,12,6.067408,0.081625313,11/15/01,12,0,0,7/15/02,12,0.078316,0.00081,8/15/02,12,44.20247108,0.48668409,8/15/03,12,0,0,9/15/03,12,0,0,7/15/05,12,0.113208,0.001655,7/15/07,12,6.4908666,0.070924,9/15/07,12,5.349567,0.047354,9/15/08,12,5.270698,0.057376,9/15/09,12,1.5267375,0.0121282,9/15/10,12,2.041578,0.021996
11/15/97,13,0,0,10/15/98,13,1.301956991,0.019399276,10/15/99,13,29.59594539,0.466353418,9/15/00,13,12.13083,0.207425311,11/15/01,13,0,0,7/15/02,13,2.07831,0.029618,8/15/02,13,114.6834693,1.62014521,8/15/03,13,0,0,9/15/03,13,0,0,7/15/05,13,0,0,7/15/07,13,66.3555211,0.9100988,9/15/07,13,9.361147,0.106207,9/15/08,13,5.154435,0.071368,9/15/09,13,4.0823354,0.0420851,9/15/10,13,2.585566,0.035085
11/15/97,14,0,0,10/15/98,14,5.4316945,0.10102837,10/15/99,14,41.65002558,0.82044066,9/15/00,14,42.505889,0.907502402,11/15/01,14,8.913772,0.175587431,7/15/02,14,11.030754,0.197781,8/15/02,14,123.8916029,2.19762762,8/15/03,14,0,0,9/15/03,14,0,0,7/15/05,14,0.703477,0.015758,7/15/07,14,275.3197125,4.7116705,9/15/07,14,51.601653,0.707022,9/15/08,14,0.336841,0.00545,9/15/09,14,2.5601589,0.0335388,9/15/10,14,22.217539,0.328206
11/15/97,15,39.64048907,0.906454226,10/15/98,15,22.28992187,0.51044785,10/15/99,15,40.5100187,0.982317012,9/15/00,15,82.301062,2.160607715,11/15/01,15,14.091611,0.341703846,7/15/02,15,16.180842,0.358118,8/15/02,15,89.70515157,1.96809527,8/15/03,15,0,0,9/15/03,15,0,0,7/15/05,15,7.531064,0.204229,7/15/07,15,257.8165479,5.4145778,9/15/07,15,67.671797,1.127704,9/15/08,15,0.101768,0.002107,9/15/09,15,0.6423146,0.0110184,9/15/10,15,4.797719,0.102256
11/15/97,16,82.13170964,2.279907977,10/15/98,16,60.56859934,1.683812145,10/15/99,16,27.79334608,0.818578135,9/15/00,16,91.179514,2.904314683,11/15/01,16,19.361009,0.570226363,7/15/02,16,11.08085,0.29845,8/15/02,16,88.66337058,2.37309437,8/15/03,16,0,0,9/15/03,16,0,0,7/15/05,16,17.559019,0.569675,7/15/07,16,159.9376523,4.0620293,9/15/07,16,170.177699,3.298195,9/15/08,16,0.021606,0.00053,9/15/09,16,0.29313,0.0073453,9/15/10,16,17.305706,0.382064
11/15/97,17,121.0972938,4.032824282,10/15/98,17,65.06444999,2.166624647,10/15/99,17,15.88323296,0.561523689,9/15/00,17,75.953051,2.901181286,11/15/01,17,25.502336,0.901590113,7/15/02,17,4.915526,0.159138,8/15/02,17,58.52844407,1.88667139,8/15/03,17,0.760754442,0.026028526,9/15/03,17,0,0,7/15/05,17,5.804713,0.222854,7/15/07,17,74.3052269,2.2537964,9/15/07,17,271.112514,6.200575,9/15/08,17,0,0,9/15/09,17,0.2601358,0.0079258,9/15/10,17,16.422097,0.451032
11/15/97,18,135.4357833,5.360424636,10/15/98,18,74.31077372,2.942698054,10/15/99,18,10.39762397,0.436655184,9/15/00,18,52.168801,2.364904466,11/15/01,18,26.632557,1.118452073,7/15/02,18,13.261927,0.511456,8/15/02,18,24.28308718,0.93345745,8/15/03,18,0,0,9/15/03,18,2.457239757,0.099999001,7/15/05,18,0.72268,0.032515,7/15/07,18,37.4947583,1.3438582,9/15/07,18,201.67124,5.414488,9/15/08,18,0,0,9/15/09,18,0.4726855,0.0174619,9/15/10,18,7.724656,0.320494
11/15/97,19,154.115419,7.178826273,10/15/98,19,38.52881274,1.795429215,10/15/99,19,13.94588142,0.689258106,9/15/00,19,24.264884,1.293397108,11/15/01,19,26.693095,1.319273522,7/15/02,19,32.245305,1.466498,8/15/02,19,15.21028221,0.68663959,8/15/03,19,0.760754442,0.036480522,9/15/03,19,4.273460447,0.204925607,7/15/05,19,2.813924,0.147138,7/15/07,19,20.3848316,0.8660669,9/15/07,19,136.721661,4.3121,9/15/08,19,0,0,9/15/09,19,0.7837365,0.0344452,9/15/10,19,9.421139,0.448858
