"Fleet","Model","Year","Age","Selectivity","Relative_selectivity"
"Fishery","Model 23.2",1964,1,0.0255409,0.0187066225262572
"Fishery","Model 23.2",1964,2,0.174768,0.128003281233978
"Fishery","Model 23.2",1964,3,0.577211,0.422759898633307
"Fishery","Model 23.2",1964,4,1.36534,1
"Fishery","Model 23.2",1964,5,1.33081,0.97470959614455
"Fishery","Model 23.2",1964,6,1.29409,0.947815196214862
"Fishery","Model 23.2",1964,7,1.23519,0.904675758419148
"Fishery","Model 23.2",1964,8,1.18614,0.868750640866011
"Fishery","Model 23.2",1964,9,1.15162,0.843467561193549
"Fishery","Model 23.2",1964,10,1.12916,0.827017446203876
"Fishery","Model 23.2",1964,11,1.11416,0.816031171722794
"Fishery","Model 23.2",1964,12,1.10399,0.808582477624621
"Fishery","Model 23.2",1964,13,1.10399,0.808582477624621
"Fishery","Model 23.2",1964,14,1.10399,0.808582477624621
"Fishery","Model 23.2",1964,15,1.10399,0.808582477624621
"Fishery","Model 23.2",1965,1,0.0255409,0.0187066225262572
"Fishery","Model 23.2",1965,2,0.174768,0.128003281233978
"Fishery","Model 23.2",1965,3,0.577211,0.422759898633307
"Fishery","Model 23.2",1965,4,1.36534,1
"Fishery","Model 23.2",1965,5,1.33081,0.97470959614455
"Fishery","Model 23.2",1965,6,1.29409,0.947815196214862
"Fishery","Model 23.2",1965,7,1.23519,0.904675758419148
"Fishery","Model 23.2",1965,8,1.18614,0.868750640866011
"Fishery","Model 23.2",1965,9,1.15162,0.843467561193549
"Fishery","Model 23.2",1965,10,1.12916,0.827017446203876
"Fishery","Model 23.2",1965,11,1.11416,0.816031171722794
"Fishery","Model 23.2",1965,12,1.10399,0.808582477624621
"Fishery","Model 23.2",1965,13,1.10399,0.808582477624621
"Fishery","Model 23.2",1965,14,1.10399,0.808582477624621
"Fishery","Model 23.2",1965,15,1.10399,0.808582477624621
"Fishery","Model 23.2",1966,1,0.0268134,0.0197087792543808
"Fishery","Model 23.2",1966,2,0.185777,0.136552540279901
"Fishery","Model 23.2",1966,3,0.66287,0.487232447371516
"Fishery","Model 23.2",1966,4,1.36048,1
"Fishery","Model 23.2",1966,5,1.31903,0.969532811948724
"Fishery","Model 23.2",1966,6,1.25497,0.922446489474303
"Fishery","Model 23.2",1966,7,1.21064,0.889862401505351
"Fishery","Model 23.2",1966,8,1.17044,0.860314006821122
"Fishery","Model 23.2",1966,9,1.14399,0.840872339174409
"Fishery","Model 23.2",1966,10,1.12716,0.828501705280489
"Fishery","Model 23.2",1966,11,1.11503,0.819585734446666
"Fishery","Model 23.2",1966,12,1.1057,0.812727860755028
"Fishery","Model 23.2",1966,13,1.1057,0.812727860755028
"Fishery","Model 23.2",1966,14,1.1057,0.812727860755028
"Fishery","Model 23.2",1966,15,1.1057,0.812727860755028
"Fishery","Model 23.2",1967,1,0.0283994,0.0222522233104799
"Fishery","Model 23.2",1967,2,0.204405,0.160160626836435
"Fishery","Model 23.2",1967,3,0.823774,0.64546444662096
"Fishery","Model 23.2",1967,4,1.27625,1
"Fishery","Model 23.2",1967,5,1.257,0.984916748285994
"Fishery","Model 23.2",1967,6,1.21349,0.950824681684623
"Fishery","Model 23.2",1967,7,1.18811,0.930938295788443
"Fishery","Model 23.2",1967,8,1.16412,0.912141038197845
"Fishery","Model 23.2",1967,9,1.14224,0.894997061704211
"Fishery","Model 23.2",1967,10,1.12893,0.884568070519099
"Fishery","Model 23.2",1967,11,1.11999,0.877563173359451
"Fishery","Model 23.2",1967,12,1.11333,0.872344760039177
"Fishery","Model 23.2",1967,13,1.11333,0.872344760039177
"Fishery","Model 23.2",1967,14,1.11333,0.872344760039177
"Fishery","Model 23.2",1967,15,1.11333,0.872344760039177
"Fishery","Model 23.2",1968,1,0.032151,0.0241268816881538
"Fishery","Model 23.2",1968,2,0.22619,0.169738402197241
"Fishery","Model 23.2",1968,3,0.851857,0.639253928469585
"Fishery","Model 23.2",1968,4,1.33258,1
"Fishery","Model 23.2",1968,5,1.27465,0.956527938285131
"Fishery","Model 23.2",1968,6,1.21386,0.910909663960137
"Fishery","Model 23.2",1968,7,1.17823,0.884172057212325
"Fishery","Model 23.2",1968,8,1.15012,0.863077638865959
"Fishery","Model 23.2",1968,9,1.12974,0.847783997958847
"Fishery","Model 23.2",1968,10,1.11542,0.837037926428432
"Fishery","Model 23.2",1968,11,1.10546,0.829563703492473
"Fishery","Model 23.2",1968,12,1.09743,0.823537798856354
"Fishery","Model 23.2",1968,13,1.09743,0.823537798856354
"Fishery","Model 23.2",1968,14,1.09743,0.823537798856354
"Fishery","Model 23.2",1968,15,1.09743,0.823537798856354
"Fishery","Model 23.2",1969,1,0.0366484,0.0290834927109538
"Fishery","Model 23.2",1969,2,0.243624,0.193335502456135
"Fishery","Model 23.2",1969,3,1.01817,0.808000888811294
"Fishery","Model 23.2",1969,4,1.26011,1
"Fishery","Model 23.2",1969,5,1.21155,0.96146368174207
"Fishery","Model 23.2",1969,6,1.16945,0.928053900056344
"Fishery","Model 23.2",1969,7,1.14945,0.912182269801843
"Fishery","Model 23.2",1969,8,1.13583,0.901373689598527
"Fishery","Model 23.2",1969,9,1.12438,0.892287181277825
"Fishery","Model 23.2",1969,10,1.11677,0.886248025965987
"Fishery","Model 23.2",1969,11,1.1111,0.881748418788836
"Fishery","Model 23.2",1969,12,1.10573,0.877486886065502
"Fishery","Model 23.2",1969,13,1.10573,0.877486886065502
"Fishery","Model 23.2",1969,14,1.10573,0.877486886065502
"Fishery","Model 23.2",1969,15,1.10573,0.877486886065502
"Fishery","Model 23.2",1970,1,0.0436228,0.0373668431241541
"Fishery","Model 23.2",1970,2,0.27717,0.237420979596032
"Fishery","Model 23.2",1970,3,0.994578,0.851945315310685
"Fishery","Model 23.2",1970,4,1.06512,0.912370869095955
"Fishery","Model 23.2",1970,5,1.10656,0.947867948124925
"Fishery","Model 23.2",1970,6,1.10011,0.942342944270271
"Fishery","Model 23.2",1970,7,1.13151,0.969239862260369
"Fishery","Model 23.2",1970,8,1.14917,0.984367237155437
"Fishery","Model 23.2",1970,9,1.14852,0.983810453821247
"Fishery","Model 23.2",1970,10,1.15466,0.989069914854979
"Fishery","Model 23.2",1970,11,1.15931,0.9930530571688
"Fishery","Model 23.2",1970,12,1.16742,1
"Fishery","Model 23.2",1970,13,1.16742,1
"Fishery","Model 23.2",1970,14,1.16742,1
"Fishery","Model 23.2",1970,15,1.16742,1
"Fishery","Model 23.2",1971,1,0.0428754,0.0358985222087328
"Fishery","Model 23.2",1971,2,0.277429,0.232284506216771
"Fishery","Model 23.2",1971,3,0.897362,0.751339222171055
"Fishery","Model 23.2",1971,4,1.035,0.866580148197764
"Fishery","Model 23.2",1971,5,1.12313,0.940369238497928
"Fishery","Model 23.2",1971,6,1.10116,0.921974295641981
"Fishery","Model 23.2",1971,7,1.0968,0.918323774437979
"Fishery","Model 23.2",1971,8,1.15505,0.96709507263365
"Fishery","Model 23.2",1971,9,1.15495,0.9670113450831
"Fishery","Model 23.2",1971,10,1.16337,0.974061204839452
"Fishery","Model 23.2",1971,11,1.17548,0.984200611211119
"Fishery","Model 23.2",1971,12,1.19435,1
"Fishery","Model 23.2",1971,13,1.19435,1
"Fishery","Model 23.2",1971,14,1.19435,1
"Fishery","Model 23.2",1971,15,1.19435,1
"Fishery","Model 23.2",1972,1,0.0336555,0.0290838151038291
"Fishery","Model 23.2",1972,2,0.333815,0.288470346269843
"Fishery","Model 23.2",1972,3,0.986868,0.852814144608923
"Fishery","Model 23.2",1972,4,1.12041,0.968216109714049
"Fishery","Model 23.2",1972,5,1.11627,0.96463847769165
"Fishery","Model 23.2",1972,6,1.10819,0.957656046111702
"Fishery","Model 23.2",1972,7,1.10489,0.954804310441673
"Fishery","Model 23.2",1972,8,1.132,0.978231751052118
"Fishery","Model 23.2",1972,9,1.14202,0.986890657541113
"Fishery","Model 23.2",1972,10,1.14433,0.988886872510132
"Fishery","Model 23.2",1972,11,1.14881,0.992758319722777
"Fishery","Model 23.2",1972,12,1.15719,1
"Fishery","Model 23.2",1972,13,1.15719,1
"Fishery","Model 23.2",1972,14,1.15719,1
"Fishery","Model 23.2",1972,15,1.15719,1
"Fishery","Model 23.2",1973,1,0.0256317,0.0220482052076075
"Fishery","Model 23.2",1973,2,0.364675,0.31369082948397
"Fishery","Model 23.2",1973,3,1.02368,0.880562222050184
"Fishery","Model 23.2",1973,4,1.16253,1
"Fishery","Model 23.2",1973,5,1.15976,0.99761726579099
"Fishery","Model 23.2",1973,6,1.15242,0.991303450233542
"Fishery","Model 23.2",1973,7,1.14141,0.98183272689737
"Fishery","Model 23.2",1973,8,1.13665,0.977738208906437
"Fishery","Model 23.2",1973,9,1.12933,0.971441597206093
"Fishery","Model 23.2",1973,10,1.12297,0.965970770646779
"Fishery","Model 23.2",1973,11,1.11834,0.961988077727026
"Fishery","Model 23.2",1973,12,1.11565,0.959674158946436
"Fishery","Model 23.2",1973,13,1.11565,0.959674158946436
"Fishery","Model 23.2",1973,14,1.11565,0.959674158946436
"Fishery","Model 23.2",1973,15,1.11565,0.959674158946436
"Fishery","Model 23.2",1974,1,0.0204904,0.0172997982151752
"Fishery","Model 23.2",1974,2,0.415456,0.3507645027566
"Fishery","Model 23.2",1974,3,1.18443,1
"Fishery","Model 23.2",1974,4,1.17503,0.992063693084437
"Fishery","Model 23.2",1974,5,1.16208,0.981130163876295
"Fishery","Model 23.2",1974,6,1.14509,0.9667857112704
"Fishery","Model 23.2",1974,7,1.13218,0.955885953581047
"Fishery","Model 23.2",1974,8,1.12333,0.948414005048842
"Fishery","Model 23.2",1974,9,1.11367,0.940258183261147
"Fishery","Model 23.2",1974,10,1.10306,0.931300287902198
"Fishery","Model 23.2",1974,11,1.09262,0.922485921498104
"Fishery","Model 23.2",1974,12,1.08314,0.914482071544963
"Fishery","Model 23.2",1974,13,1.08314,0.914482071544963
"Fishery","Model 23.2",1974,14,1.08314,0.914482071544963
"Fishery","Model 23.2",1974,15,1.08314,0.914482071544963
"Fishery","Model 23.2",1975,1,0.0161257,0.0122317290552585
"Fishery","Model 23.2",1975,2,0.332582,0.25227139985588
"Fishery","Model 23.2",1975,3,1.31835,1
