"Year","Quantity","Model","Value"
1964,"Spawning biomass","Model 26.0",1313.94686080523
1965,"Spawning biomass","Model 26.0",1342.63619984016
1966,"Spawning biomass","Model 26.0",1365.24540512601
1967,"Spawning biomass","Model 26.0",1475.25257258648
1968,"Spawning biomass","Model 26.0",1640.42142114754
1969,"Spawning biomass","Model 26.0",1862.07073142731
1970,"Spawning biomass","Model 26.0",1974.73235056632
1971,"Spawning biomass","Model 26.0",2087.34087649917
1972,"Spawning biomass","Model 26.0",1951.62703070648
1973,"Spawning biomass","Model 26.0",1673.21701586229
1974,"Spawning biomass","Model 26.0",1272.09870520628
1975,"Spawning biomass","Model 26.0",1178.59504815136
1976,"Spawning biomass","Model 26.0",1100.85764879417
1977,"Spawning biomass","Model 26.0",1280.50144563675
1978,"Spawning biomass","Model 26.0",1131.85715473736
1979,"Spawning biomass","Model 26.0",1037.73389324034
1980,"Spawning biomass","Model 26.0",1229.15017123997
1981,"Spawning biomass","Model 26.0",1886.22852536653
1982,"Spawning biomass","Model 26.0",2628.36368917204
1983,"Spawning biomass","Model 26.0",3535.68006995811
1984,"Spawning biomass","Model 26.0",3672.58896677704
1985,"Spawning biomass","Model 26.0",4200.41090620621
1986,"Spawning biomass","Model 26.0",4091.74899688871
1987,"Spawning biomass","Model 26.0",4111.58679771117
1988,"Spawning biomass","Model 26.0",3871.64228307285
1989,"Spawning biomass","Model 26.0",3349.55456712521
1990,"Spawning biomass","Model 26.0",2839.68088325935
1991,"Spawning biomass","Model 26.0",2289.95445613664
1992,"Spawning biomass","Model 26.0",2171.31808943673
1993,"Spawning biomass","Model 26.0",2842.22601791294
1994,"Spawning biomass","Model 26.0",3301.06599844736
1995,"Spawning biomass","Model 26.0",3528.76047629549
1996,"Spawning biomass","Model 26.0",3465.37405971209
1997,"Spawning biomass","Model 26.0",3369.36330805404
1998,"Spawning biomass","Model 26.0",2863.8872897713
1999,"Spawning biomass","Model 26.0",2984.6094776387
2000,"Spawning biomass","Model 26.0",2871.90977598312
2001,"Spawning biomass","Model 26.0",2910.94789506352
2002,"Spawning biomass","Model 26.0",2706.02777994598
2003,"Spawning biomass","Model 26.0",2732.28693118088
2004,"Spawning biomass","Model 26.0",3023.38440275775
2005,"Spawning biomass","Model 26.0",2661.3619223968
2006,"Spawning biomass","Model 26.0",2435.63506514968
