"Model","Fleet","Year","Observation","Lower95","Upper95","Predicted"
"Model","AVO index",2006,1.741476103,0.941861107623177,2.54109109837682,1.66172259581363
"Model","AVO index",2007,2.00191307,0.442882767674073,3.56094337232593,1.40366366100277
"Model","AVO index",2008,0.991543151,0.417537951754052,1.56554835024595,1.19723988632335
"Model","AVO index",2009,0.6951,0,1.45967349900437,1.27313584248438
"Model","AVO index",2010,1.9218,0.786602087951332,3.05699791204867,1.76191424416659
"Model","AVO index",2011,1.703822566,0.826390244441082,2.58125488755892,1.83436221094506
"Model","AVO index",2012,1.5206,0.791614043334168,2.24958595666583,1.87261638966845
"Model","AVO index",2013,2.177629578,1.41301627800699,2.94224287799301,2.11321244276976
"Model","AVO index",2014,3.0769,1.93963899262189,4.21416100737811,2.49438372112408
"Model","AVO index",2015,3.5927,2.79645015106669,4.38894984893331,2.43990700421151
"Model","AVO index",2016,2.8319,2.08889185731986,3.57490814268014,2.94916909654163
"Model","AVO index",2017,2.263,1.64092851071964,2.88507148928036,2.48266372970164
"Model","AVO index",2018,2.0841,1.58438659859975,2.58381340140025,2.28393197891801
"Model","AVO index",2019,2.8292,1.58384856644533,4.07455143355467,2.02389341448356
"Model","AVO index",2021,2.4101,1.37145866898889,3.4487413310111,2.24823824658679
"Model","AVO index",2022,2.9031,2.01174695976226,3.79445304023774,2.57338669148825
"Model","AVO index",2023,2.481,1.82372766143539,3.13827233856461,2.50844586976833
"Model","AVO index",2024,2.00700959,1.51542227179832,2.49859690820168,2.16750777725173
"Model","BTS biomass index",1982,3871.045939,3870.90359611904,3871.18828188096,4798.83397576741
"Model","BTS biomass index",1983,8918.551102,8918.42494303689,8918.67726096311,8203.66476445048
"Model","BTS biomass index",1984,6575.015167,6574.88442074986,6575.14591325014,7650.41492469011
"Model","BTS biomass index",1985,7504.611645,7504.46610837692,7504.75718162308,8419.06527834092
"Model","BTS biomass index",1986,7235.877523,7235.73495848215,7236.02008751785,8356.75084034676
"Model","BTS biomass index",1987,7576.038971,7575.88515247031,7576.19278952969,9071.28581116086
"Model","BTS biomass index",1988,11799.52504,11799.364618542,11799.6854614581,10888.400735641
"Model","BTS biomass index",1989,9942.601905,9942.46458144904,9942.73922855096,10868.9650822293
"Model","BTS biomass index",1990,11581.25353,11581.0859716751,11581.4210883249,10324.6714669445
"Model","BTS biomass index",1991,7129.587182,7129.45346259598,7129.72090140402,8258.84102051327
"Model","BTS biomass index",1992,6643.437096,6643.30181573668,6643.57237626332,6509.33517427226
"Model","BTS biomass index",1993,7849.269927,7849.14526335518,7849.39459064482,7135.14992745302
"Model","BTS biomass index",1994,7094.434902,7094.30663681501,7094.56316718499,7262.98062964134
"Model","BTS biomass index",1995,6597.187752,6597.02530855708,6597.35019544292,6096.12072758208
"Model","BTS biomass index",1996,3954.25528,3954.13526917694,3954.37529082306,4471.7586173402
"Model","BTS biomass index",1997,4371.517782,4371.39437964345,4371.64118435655,4465.32969495333
"Model","BTS biomass index",1998,3417.606809,3417.48689729411,3417.72672070589,4251.19356099297
"Model","BTS biomass index",1999,5613.644193,5613.50387330024,5613.78451269976,5233.52693127717
