"Scenario","Year","Quantity","Value","Reference_value","Percent_change"
"Model 26.0 base",1964,"Spawning biomass",1313.96044212048,1313.96044212048,0
"Model 26.0 base",1964,"Total biomass",4713.54127369633,4713.54127369633,0
"Model 26.0 base",1964,"Age-1 recruitment",5634.8318223981,5634.8318223981,0
"Model 26.0 base",1964,"Fishing mortality",0.0543003112157484,0.0543003112157484,0
"Model 26.0 base",1965,"Spawning biomass",1342.64982205308,1342.64982205308,0
"Model 26.0 base",1965,"Total biomass",5088.60349549152,5088.60349549152,0
"Model 26.0 base",1965,"Age-1 recruitment",23293.2979372444,23293.2979372444,0
"Model 26.0 base",1965,"Fishing mortality",0.0667935992206836,0.0667935992206836,0
"Model 26.0 base",1966,"Spawning biomass",1365.25847006155,1365.25847006155,0
"Model 26.0 base",1966,"Total biomass",5309.91119970155,5309.91119970155,0
"Model 26.0 base",1966,"Age-1 recruitment",15752.6324551867,15752.6324551867,0
"Model 26.0 base",1966,"Fishing mortality",0.0706125818056261,0.0706125818056261,0
"Model 26.0 base",1967,"Spawning biomass",1475.26521737298,1475.26521737298,0
"Model 26.0 base",1967,"Total biomass",6049.7234273398,6049.7234273398,0
"Model 26.0 base",1967,"Age-1 recruitment",27115.2612370909,27115.2612370909,0
"Model 26.0 base",1967,"Fishing mortality",0.133575669485216,0.133575669485216,0
"Model 26.0 base",1968,"Spawning biomass",1640.4339595087,1640.4339595087,0
"Model 26.0 base",1968,"Total biomass",6695.09110460443,6695.09110460443,0
"Model 26.0 base",1968,"Age-1 recruitment",22388.337635434,22388.337635434,0
"Model 26.0 base",1968,"Fishing mortality",0.142129722798232,0.142129722798232,0
"Model 26.0 base",1969,"Spawning biomass",1862.08336951357,1862.08336951357,0
"Model 26.0 base",1969,"Total biomass",7283.36789170734,7283.36789170734,0
"Model 26.0 base",1969,"Age-1 recruitment",26267.8500053566,26267.8500053566,0
"Model 26.0 base",1969,"Fishing mortality",0.151654026941367,0.151654026941367,0
"Model 26.0 base",1970,"Spawning biomass",1974.74463999399,1974.74463999399,0
