"Run","Objective","Delta_objective","Returned_to_best"
"Jitter 1",715.867978282413,1.60750914801611e-08,TRUE
"Jitter 2",715.867978273669,7.33109573047841e-09,TRUE
"Jitter 3",715.867978269805,3.46710748999612e-09,TRUE
"Jitter 4",715.867978273223,6.88464751874562e-09,TRUE
"Jitter 5",1325.47469870319,609.606720436852,FALSE
"Jitter 6",715.867978276304,9.9660155683523e-09,TRUE
"Jitter 7",715.867978273841,7.50287654227577e-09,TRUE
"Jitter 8",715.86797828081,1.44717660077731e-08,TRUE
"Jitter 9",715.86797827643,1.00920942713856e-08,TRUE
"Jitter 10",715.867978285076,1.87379782801145e-08,TRUE
"Jitter 11",715.86797827095,4.61182025901508e-09,TRUE
"Jitter 12",715.867978271063,4.72493866254808e-09,TRUE
"Jitter 13",715.867978270228,3.89024989999598e-09,TRUE
"Jitter 14",715.86797827437,8.03220245870762e-09,TRUE
"Jitter 15",715.867978279933,1.3595013115264e-08,TRUE
"Jitter 16",715.86797827378,7.44228145777015e-09,TRUE
"Jitter 17",715.867978280646,1.43081706482917e-08,TRUE
"Jitter 18",715.867978278637,1.22993242257508e-08,TRUE
"Jitter 19",715.867978272574,6.23538198851747e-09,TRUE
"Jitter 20",715.867978278798,1.24598500406137e-08,TRUE
"Jitter 21",715.867978276218,9.87961357168388e-09,TRUE
"Jitter 22",715.867978268281,1.94256699614925e-09,TRUE
"Jitter 23",715.867978271412,5.07407094119117e-09,TRUE
"Jitter 24",715.867978274735,8.39690983411856e-09,TRUE
"Jitter 25",715.867978272299,5.96128302277066e-09,TRUE
"Jitter 26",715.867978266338,0,TRUE
"Jitter 27",715.867978276558,1.02196509033092e-08,TRUE
"Jitter 28",715.86797826854,2.2021140466677e-09,TRUE
"Jitter 29",715.867978274653,8.31448687677039e-09,TRUE
"Jitter 30",1325.47460678119,609.60662851485,FALSE
"Jitter 31",715.867978283228,1.68898850461119e-08,TRUE
"Jitter 32",715.86797827456,8.22183210402727e-09,TRUE
"Jitter 33",715.867978278094,1.17559011414414e-08,TRUE
"Jitter 34",715.867978281108,1.47696255226037e-08,TRUE
"Jitter 35",715.867978284826,1.84877535502892e-08,TRUE
"Jitter 36",715.867978278015,1.16768887892249e-08,TRUE
"Jitter 37",715.867978273625,7.28721261111787e-09,TRUE
"Jitter 38",715.867978272511,6.17330897512147e-09,TRUE
"Jitter 39",715.867978272059,5.7211764215026e-09,TRUE
"Jitter 40",715.867978276389,1.00511670098058e-08,TRUE
"Jitter 41",1325.47463752905,609.606659262709,FALSE
"Jitter 42",715.86797827675,1.04123500932474e-08,TRUE
"Jitter 43",715.867978275604,9.26559096114943e-09,TRUE
"Jitter 44",715.867978278426,1.20875256470754e-08,TRUE
"Jitter 45",715.867978277558,1.12195266410708e-08,TRUE
"Jitter 46",715.867978274077,7.73923147789901e-09,TRUE
"Jitter 47",715.867978274983,8.64520188770257e-09,TRUE
"Jitter 48",715.867978273605,7.26731741451658e-09,TRUE
"Jitter 49",715.867978280445,1.41070586323622e-08,TRUE
"Jitter 50",715.867978269417,3.07932168652769e-09,TRUE
