"Freq","final_age","test_age","round_nir"
1638,1,-999,1
15,1,-999,2
1,1,-999,3
488,1,1,1
4,1,1,2
3,1,2,1
55,2,-999,1
883,2,-999,2
311,2,-999,3
10,2,-999,4
2,2,1,1
1,2,1,3
13,2,2,1
212,2,2,2
75,2,2,3
4,2,2,4
6,2,3,2
4,2,3,3
1,2,3,4
212,3,-999,2
1626,3,-999,3
903,3,-999,4
61,3,-999,5
3,3,-999,6
2,3,2,2
5,3,2,3
2,3,2,4
60,3,3,2
408,3,3,3
227,3,3,4
5,3,3,5
1,3,4,2
11,3,4,3
9,3,4,4
2,3,4,5
12,4,-999,2
608,4,-999,3
4289,4,-999,4
2074,4,-999,5
103,4,-999,6
4,4,-999,7
1,4,-999,8
1,4,-999,9
5,4,3,3
15,4,3,4
1,4,4,2
132,4,4,3
1084,4,4,4
479,4,4,5
18,4,4,6
1,4,4,7
5,4,5,3
36,4,5,4
25,4,5,5
5,4,5,6
2,4,6,4
1,4,6,5
1,4,7,4
17,5,-999,3
1054,5,-999,4
4588,5,-999,5
1664,5,-999,6
155,5,-999,7
16,5,-999,8
1,5,-999,9
2,5,4,3
19,5,4,4
24,5,4,5
7,5,4,6
3,5,5,3
241,5,5,4
1110,5,5,5
378,5,5,6
31,5,5,7
5,5,6,4
54,5,6,5
28,5,6,6
4,5,6,7
1,5,6,8
1,5,6,9
1,5,7,4
3,5,7,6
1,6,-999,3
94,6,-999,4
1126,6,-999,5
3761,6,-999,6
1205,6,-999,7
148,6,-999,8
13,6,-999,9
2,6,-999,10
1,6,4,4
1,6,4,6
1,6,5,4
22,6,5,5
39,6,5,6
8,6,5,7
3,6,5,8
12,6,6,4
230,6,6,5
839,6,6,6
266,6,6,7
31,6,6,8
6,6,6,9
1,6,7,4
11,6,7,5
61,6,7,6
34,6,7,7
4,6,7,8
1,6,7,9
4,6,8,6
1,6,8,7
1,6,9,5
1,6,9,6
1,6,9,7
2,6,9,8
7,7,-999,4
149,7,-999,5
1425,7,-999,6
