Range_of_ages
1 23

Data_set_1
265                                   # data points
3                                     # readers
0 15 1                                # minus group; plus group; reference age
   1  2  3  4  5  6  7
5  1  -999  2
2  1  1  2
235   2  -999  2
247   2  -999  3
9  2  -999  4
1  2  1  3
43 2  2  2
56 2  2  3
4  2  2  4
1  2  3  2
4  2  3  3
1  2  3  4
45 3  -999  2
814   3  -999  3
674   3  -999  4
54 3  -999  5
2  3  -999  6
5  3  2  3
2  3  2  4
9  3  3  2
193   3  3  3
155   3  3  4
5  3  3  5
5  3  4  3
7  3  4  4
2  3  4  5
2  4  -999  2
89 4  -999  3
2293  4  -999  4
1291  4  -999  5
65 4  -999  6
3  4  -999  7
1  4  -999  9
1  4  3  3
8  4  3  4
11 4  4  3
565   4  4  4
319   4  4  5
14 4  4  6
1  4  5  3
28 4  5  4
18 4  5  5
3  4  5  6
5  5  -999  3
640   5  -999  4
2790  5  -999  5
915   5  -999  6
92 5  -999  7
11 5  -999  8
1  5  4  3
8  5  4  4
10 5  4  5
2  5  4  6
1  5  5  3
154   5  5  4
692   5  5  5
231   5  5  6
21 5  5  7
3  5  6  4
25 5  6  5
11 5  6  6
4  5  6  7
1  5  6  8
2  5  7  6
1  6  -999  3
52 6  -999  4
590   6  -999  5
2073  6  -999  6
663   6  -999  7
78 6  -999  8
9  6  -999  9
2  6  -999  10
1  6  4  4
1  6  4  6
14 6  5  5
24 6  5  6
7  6  5  7
1  6  5  8
4  6  6  4
113   6  6  5
476   6  6  6
136   6  6  7
14 6  6  8
1  6  6  9
6  6  7  5
34 6  7  6
23 6  7  7
2  6  7  8
1  6  7  9
1  6  9  5
4  7  -999  4
77 7  -999  5
704   7  -999  6
1165  7  -999  7
389   7  -999  8
76 7  -999  9
15 7  -999  10
3  7  -999  11
1  7  6  4
2  7  6  5
20 7  6  6
36 7  6  7
16 7  6  8
2  7  6  9
5  7  7  5
150   7  7  6
228   7  7  7
81 7  7  8
15 7  7  9
1  7  7  10
11 7  8  6
20 7  8  7
10 7  8  8
4  7  8  9
1  7  8  10
2  7  9  7
5  7  9  8
1  7  11 7
8  8  -999  5
108   8  -999  6
509   8  -999  7
561   8  -999  8
245   8  -999  9
53 8  -999  10
5  8  -999  11
1  8  5  7
1  8  6  6
2  8  6  7
1  8  6  8
13 8  7  7
15 8  7  8
8  8  7  9
2  8  7  10
1  8  8  5
25 8  8  6
87 8  8  7
109   8  8  8
40 8  8  9
11 8  8  10
1  8  8  11
11 8  9  7
12 8  9  8
12 8  9  9
2  8  9  10
2  8  10 9
1  8  11 9
2  9  -999  5
12 9  -999  6
90 9  -999  7
202   9  -999  8
235   9  -999  9
103   9  -999  10
24 9  -999  11
2  9  -999  12
1  9  6  7
1  9  7  7
2  9  7  9
2  9  8  6
5  9  8  7
13 9  8  8
9  9  8  9
4  9  8  10
1  9  8  11
1  9  9  6
19 9  9  7
32 9  9  8
44 9  9  9
10 9  9  10
1  9  9  11
1  9  9  13
3  9  10 7
5  9  10 8
4  9  10 9
3  9  10 10
1  9  10 11
1  9  10 12
1  9  11 8
1  9  13 10
1  10 -999  6
14 10 -999  7
73 10 -999  8
105   10 -999  9
90 10 -999  10
25 10 -999  11
8  10 -999  12
2  10 -999  13
1  10 6  8
1  10 8  9
1  10 9  8
3  10 9  9
4  10 9  10
1  10 9  11
3  10 10 7
3  10 10 8
17 10 10 9
16 10 10 10
2  10 10 11
4  10 10 12
1  10 11 6
3  10 11 9
2  10 11 10
1  10 11 11
1  10 12 9
1  10 13 12
1  11 -999  6
4  11 -999  7
12 11 -999  8
37 11 -999  9
41 11 -999  10
21 11 -999  11
8  11 -999  12
4  11 -999  13
2  11 -999  14
2  11 10 8
1  11 10 9
3  11 10 10
3  11 10 11
2  11 11 8
6  11 11 9
7  11 11 10
4  11 11 11
2  11 11 12
1  11 11 13
1  11 12 10
1  11 12 11
1  12 -999  7
2  12 -999  8
6  12 -999  9
15 12 -999  10
11 12 -999  11
11 12 -999  12
5  12 -999  13
1  12 8  11
2  12 11 10
1  12 12 8
2  12 12 9
2  12 12 10
2  12 12 11
1  12 12 12
1  12 13 14
1  13 -999  8
2  13 -999  9
3  13 -999  10
10 13 -999  11
9  13 -999  12
4  13 -999  14
2  13 -999  15
1  13 12 14
1  13 13 11
1  13 13 13
1  13 13 15
2  14 -999  11
2  14 -999  12
3  14 -999  13
1  14 -999  14
2  14 -999  15
2  14 14 12
1  14 14 14
1  14 15 13
2  15 -999  14
1  15 17 9
1  16 -999  15
1  16 -999  18
1  17 -999  14
1  17 -999  17

-999 -999 -999 -999
