"Freq","final_age","test_age","round_nir"
200,1,-999,1
2,1,-999,2
57,1,1,1
13,2,-999,1
350,2,-999,2
39,2,-999,3
6,2,2,1
88,2,2,2
12,2,2,3
1,2,3,2
73,3,-999,2
600,3,-999,3
109,3,-999,4
2,3,-999,5
20,3,3,2
157,3,3,3
32,3,3,4
1,3,4,2
5,3,4,3
1,3,4,4
8,4,-999,2
439,4,-999,3
1523,4,-999,4
519,4,-999,5
17,4,-999,6
1,4,-999,7
1,4,3,3
4,4,3,4
93,4,4,3
391,4,4,4
112,4,4,5
3,4,4,6
2,4,5,3
7,4,5,4
1,4,5,5
1,4,5,6
1,4,6,4
4,5,-999,3
261,5,-999,4
1067,5,-999,5
355,5,-999,6
25,5,-999,7
5,5,4,4
8,5,4,5
2,5,4,6
1,5,5,3
45,5,5,4
230,5,5,5
59,5,5,6
6,5,5,7
2,5,6,4
25,5,6,5
10,5,6,6
26,6,-999,4
289,6,-999,5
643,6,-999,6
181,6,-999,7
26,6,-999,8
1,6,-999,9
1,6,5,4
6,6,5,5
7,6,5,6
4,6,6,4
49,6,6,5
145,6,6,6
36,6,6,7
6,6,6,8
3,6,6,9
3,6,7,5
11,6,7,6
4,6,7,7
1,6,7,8
2,6,8,6
28,7,-999,5
191,7,-999,6
157,7,-999,7
60,7,-999,8
19,7,-999,9
2,7,-999,10
1,7,-999,11
6,7,6,6
4,7,6,7
9,7,7,5
34,7,7,6
25,7,7,7
12,7,7,8
1,7,7,9
3,7,8,6
5,7,8,7
2,7,8,8
1,7,8,9
1,7,9,9
1,8,-999,4
2,8,-999,5
26,8,-999,6
102,8,-999,7
149,8,-999,8
62,8,-999,9
8,8,-999,10
1,8,-999,11
1,8,6,7
1,8,7,6
6,8,7,7
4,8,7,8
3,8,7,9
2,8,8,6
21,8,8,7
29,8,8,8
12,8,8,9
2,8,8,10
3,8,9,7
4,8,9,8
1,8,9,9
1,8,10,8
5,9,-999,6
31,9,-999,7
66,9,-999,8
50,9,-999,9
16,9,-999,10
5,9,-999,11
1,9,8,7
2,9,8,8
2,9,8,9
2,9,9,7
19,9,9,8
13,9,9,9
4,9,9,10
1,9,9,11
1,9,9,13
1,9,10,8
1,9,10,9
1,9,10,10
6,10,-999,7
14,10,-999,8
28,10,-999,9
19,10,-999,10
8,10,-999,11
1,10,-999,13
1,10,-999,14
1,10,9,9
2,10,10,8
5,10,10,9
2,10,10,10
3,10,10,11
1,10,11,12
10,11,-999,9
10,11,-999,10
4,11,-999,11
5,11,-999,12
1,11,-999,13
1,11,10,11
1,11,11,8
2,11,11,9
2,11,11,10
1,11,11,11
1,11,11,13
1,12,-999,8
4,12,-999,9
5,12,-999,10
4,12,-999,11
1,12,-999,12
1,12,-999,14
2,12,11,11
1,12,12,9
1,12,12,11
1,13,-999,9
1,13,-999,10
1,13,-999,11
1,13,-999,12
2,13,-999,13
1,13,-999,14
1,14,-999,9
1,14,-999,11
1,14,-999,12
1,14,-999,15
1,14,-999,16
1,15,-999,11
1,15,-999,12
2,15,-999,14
1,15,-999,15
1,15,-999,16
1,15,15,12
1,15,15,13
1,16,-999,14
1,16,-999,15
1,16,15,15
1,16,16,15
1,17,-999,10
