Range_of_ages
1 23

Data_set_1
352                                   # data points
3                                     # readers
0 15 1                                # minus group; plus group; reference age
   1  2  3  4  5  6  7
1438  1  -999  1
8  1  -999  2
1  1  -999  3
431   1  1  1
2  1  1  2
3  1  2  1
42 2  -999  1
298   2  -999  2
25 2  -999  3
1  2  -999  4
2  2  1  1
7  2  2  1
81 2  2  2
7  2  2  3
4  2  3  2
94 3  -999  2
212   3  -999  3
120   3  -999  4
5  3  -999  5
1  3  -999  6
2  3  2  2
31 3  3  2
58 3  3  3
40 3  3  4
1  3  4  3
1  3  4  4
2  4  -999  2
80 4  -999  3
473   4  -999  4
264   4  -999  5
21 4  -999  6
1  4  -999  8
3  4  3  3
3  4  3  4
1  4  4  2
28 4  4  3
128   4  4  4
48 4  4  5
1  4  4  6
1  4  4  7
2  4  5  3
1  4  5  4
6  4  5  5
1  4  5  6
1  4  6  4
1  4  6  5
1  4  7  4
8  5  -999  3
153   5  -999  4
731   5  -999  5
394   5  -999  6
38 5  -999  7
5  5  -999  8
1  5  -999  9
1  5  4  3
6  5  4  4
6  5  4  5
3  5  4  6
1  5  5  3
42 5  5  4
188   5  5  5
88 5  5  6
4  5  5  7
4  5  6  5
7  5  6  6
1  5  6  9
1  5  7  4
1  5  7  6
16 6  -999  4
247   6  -999  5
1045  6  -999  6
361   6  -999  7
44 6  -999  8
3  6  -999  9
2  6  5  5
8  6  5  6
1  6  5  7
2  6  5  8
4  6  6  4
68 6  6  5
218   6  6  6
94 6  6  7
11 6  6  8
2  6  6  9
1  6  7  4
2  6  7  5
16 6  7  6
7  6  7  7
1  6  7  8
2  6  8  6
1  6  8  7
1  6  9  6
1  6  9  7
2  6  9  8
3  7  -999  4
44 7  -999  5
530   7  -999  6
717   7  -999  7
305   7  -999  8
55 7  -999  9
8  7  -999  10
1  7  -999  11
1  7  5  5
18 7  6  6
14 7  6  7
1  7  6  8
1  7  6  9
8  7  7  5
128   7  7  6
209   7  7  7
83 7  7  8
8  7  7  9
2  7  7  11
1  7  8  5
4  7  8  6
19 7  8  7
6  7  8  8
2  7  8  9
1  7  8  11
2  7  9  7
1  7  9  8
1  7  11 6
6  8  -999  5
131   8  -999  6
490   8  -999  7
525   8  -999  8
246   8  -999  9
40 8  -999  10
10 8  -999  11
3  8  -999  12
2  8  -999  13
1  8  5  8
1  8  6  6
6  8  6  7
5  8  7  6
17 8  7  7
11 8  7  8
3  8  7  9
1  8  7  10
19 8  8  6
103   8  8  7
131   8  8  8
49 8  8  9
10 8  8  10
1  8  8  11
2  8  9  6
5  8  9  7
7  8  9  8
5  8  9  9
3  8  9  10
1  8  9  12
1  8  10 7
2  8  10 8
1  8  11 11
13 9  -999  6
141   9  -999  7
313   9  -999  8
293   9  -999  9
133   9  -999  10
38 9  -999  11
10 9  -999  12
3  9  -999  13
1  9  -999  14
1  9  6  6
2  9  6  7
2  9  7  7
3  9  7  8
1  9  7  11
7  9  8  7
9  9  8  8
13 9  8  9
3  9  8  10
4  9  9  6
30 9  9  7
51 9  9  8
55 9  9  9
25 9  9  10
8  9  9  11
3  9  9  12
3  9  10 7
6  9  10 8
8  9  10 9
4  9  10 10
1  9  10 11
1  9  10 13
1  9  11 8
3  10 -999  5
37 10 -999  7
119   10 -999  8
157   10 -999  9
121   10 -999  10
45 10 -999  11
18 10 -999  12
1  10 -999  13
3  10 -999  14
1  10 8  7
1  10 8  9
1  10 8  11
3  10 9  8
5  10 9  9
8  10 9  10
3  10 9  11
1  10 9  12
2  10 10 7
16 10 10 8
27 10 10 9
29 10 10 10
9  10 10 11
6  10 10 12
1  10 10 13
1  10 11 8
1  10 11 9
3  10 11 10
2  10 11 14
1  10 13 10
1  11 -999  6
3  11 -999  7
24 11 -999  8
53 11 -999  9
52 11 -999  10
37 11 -999  11
26 11 -999  12
3  11 -999  13
3  11 -999  14
1  11 7  10
1  11 9  9
1  11 10 7
1  11 10 8
1  11 10 9
2  11 10 10
1  11 10 11
1  11 10 12
3  11 11 8
6  11 11 9
12 11 11 10
2  11 11 11
5  11 11 12
1  11 11 13
1  11 12 10
1  11 12 13
1  11 12 14
1  11 15 9
1  12 -999  7
1  12 -999  8
15 12 -999  9
20 12 -999  10
32 12 -999  11
24 12 -999  12
8  12 -999  13
7  12 -999  14
1  12 -999  16
1  12 -999  17
1  12 10 9
1  12 10 10
1  12 11 8
1  12 11 10
2  12 11 11
2  12 11 14
2  12 12 8
1  12 12 9
3  12 12 10
5  12 12 11
3  12 12 12
3  12 12 13
1  12 12 14
1  12 13 11
1  12 13 12
1  12 13 13
2  13 -999  9
8  13 -999  10
17 13 -999  11
15 13 -999  12
16 13 -999  13
10 13 -999  14
7  13 -999  15
1  13 -999  16
1  13 -999  18
1  13 12 9
1  13 12 10
1  13 12 12
1  13 13 9
1  13 13 10
7  13 13 11
2  13 13 13
1  13 13 14
1  13 13 15
1  13 14 11
3  14 -999  10
6  14 -999  11
4  14 -999  12
7  14 -999  13
16 14 -999  14
7  14 -999  15
4  14 -999  16
1  14 14 9
2  14 14 11
1  14 14 13
2  14 14 15
1  14 15 13
3  15 -999  10
2  15 -999  12
4  15 -999  13
9  15 -999  14
9  15 -999  15
5  15 -999  16
3  15 -999  17
2  15 -999  18
1  15 13 12
1  15 14 14
1  15 15 12
4  15 15 15
1  15 15 16
1  15 16 16
1  16 -999  11
1  16 -999  12
3  16 -999  13
2  16 -999  14
1  16 -999  15
3  16 -999  16
3  16 -999  18
1  16 15 13
2  16 15 17
2  16 16 13
1  16 16 16
1  16 16 17
1  17 -999  12
2  17 -999  14
2  17 -999  15
4  17 -999  17
1  17 17 13
1  17 19 18
1  18 -999  11
1  18 -999  16
1  18 -999  17
1  18 -999  18
2  18 -999  19
2  18 -999  20
1  18 17 21
2  19 -999  18
2  19 -999  19
1  19 -999  20
2  19 -999  21
1  19 19 18
1  20 -999  16
2  20 -999  19
1  20 21 20
1  21 -999  20
1  21 20 20
1  22 -999  18
1  22 -999  22
1  23 -999  19
1  23 23 20

-999 -999 -999 -999
