ParName   Value   Gradient
log_avgrec      9.82719 -3.16882e-05
log_avginit      4.81598  -3.4866e-06
log_avg_F      -1.4191  4.69171e-05
log_q_ats    -0.615556 -1.18377e-06
log_Rzero       10.073  1.31862e-06
steepness     0.622121  1.67135e-06
log_q_cpue     0.101014 -1.15577e-05
log_q_avo     -8.18719 -1.02619e-05
log_initdevs(2)      3.31651 -3.49217e-05
log_initdevs(3)      2.83296 -1.04711e-05
log_initdevs(4)      1.29811  4.36807e-06
log_initdevs(5)     0.470948  4.05126e-05
log_initdevs(6)      1.14532  -3.9413e-05
log_initdevs(7)     0.351402 -3.91441e-05
log_initdevs(8)    -0.786218 -2.78663e-06
log_initdevs(9)     -1.24264 -9.76551e-07
log_initdevs(10)     -1.23564 -2.86804e-07
log_initdevs(11)     -1.23066 -3.75751e-07
log_initdevs(12)     -1.22754 -1.65673e-06
log_initdevs(13)     -1.22916 -5.56776e-07
log_initdevs(14)     -1.23075  1.88988e-08
log_initdevs(15)     -1.23265 -1.45215e-06
log_rec_devs(1964)     -1.06894  3.46057e-05
log_rec_devs(1965)     0.121472 -4.36809e-05
log_rec_devs(1966)    -0.209933  6.32001e-05
log_rec_devs(1967)     0.317835  0.000119629
log_rec_devs(1968)     0.174811   0.00010926
log_rec_devs(1969)     0.342332 -3.24277e-06
log_rec_devs(1970)     0.236007 -0.000125989
log_rec_devs(1971)    -0.252934 -0.000167016
log_rec_devs(1972)    -0.455349 -0.000110811
log_rec_devs(1973)     0.366148 -0.000165776
log_rec_devs(1974)    0.0484023 -0.000148021
log_rec_devs(1975)    -0.121294 -4.18485e-05
log_rec_devs(1976)    -0.384488  2.19063e-05
log_rec_devs(1977)     -0.33227  4.18536e-05
log_rec_devs(1978)      0.27308  7.23379e-05
log_rec_devs(1979)       1.1241  0.000125528
log_rec_devs(1980)     0.385981  4.62554e-05
log_rec_devs(1981)     0.542735  9.17851e-05
log_rec_devs(1982)   -0.0156214  2.88886e-05
log_rec_devs(1983)      1.01399  9.45228e-05
log_rec_devs(1984)    -0.278935  2.53238e-06
log_rec_devs(1985)     0.562854  3.41974e-06
log_rec_devs(1986)    -0.391817 -1.04887e-05
log_rec_devs(1987)    -0.963238 -1.55401e-05
log_rec_devs(1988)     -1.22869  1.57901e-06
log_rec_devs(1989)    -0.488847  2.41375e-05
